Fecha,MEG c/lb
2/03/2018 0:00:00,"54,34"
9/03/2018 0:00:00,"54,34"
16/03/2018 0:00:00,"54,34"
23/03/2018 0:00:00,"54,34"
29/03/2018 0:00:00,"52,84"
6/04/2018 0:00:00,"52,84"
13/04/2018 0:00:00,"52,84"
20/04/2018 0:00:00,"52,84"
27/04/2018 0:00:00,"52,53"
4/05/2018 0:00:00,"52,53"
11/05/2018 0:00:00,"52,53"
18/05/2018 0:00:00,"52,53"
25/05/2018 0:00:00,"52,53"
1/06/2018 0:00:00,"52,75"
8/06/2018 0:00:00,"52,75"
15/06/2018 0:00:00,"52,75"
22/06/2018 0:00:00,"52,75"
29/06/2018 0:00:00,"51,3"
6/07/2018 0:00:00,"51,3"
13/07/2018 0:00:00,"51,3"
20/07/2018 0:00:00,"51,3"
27/07/2018 0:00:00,"49,94"
3/08/2018 0:00:00,"49,94"
10/08/2018 0:00:00,"49,94"
17/08/2018 0:00:00,"49,94"
24/08/2018 0:00:00,"49,94"
31/08/2018 0:00:00,"50,39"
7/09/2018 0:00:00,"50,39"
14/09/2018 0:00:00,"50,39"
21/09/2018 0:00:00,"50,39"
28/09/2018 0:00:00,"50,39"
5/10/2018 0:00:00,"50,39"
12/10/2018 0:00:00,"50,39"
19/10/2018 0:00:00,"50,39"
26/10/2018 0:00:00,"49,76"
2/11/2018 0:00:00,"49,76"
9/11/2018 0:00:00,"49,76"
16/11/2018 0:00:00,"49,76"
23/11/2018 0:00:00,"49,76"
30/11/2018 0:00:00,"45,77"
7/12/2018 0:00:00,"45,77"
14/12/2018 0:00:00,"45,77"
21/12/2018 0:00:00,"45,77"
28/12/2018 0:00:00,"41,14"
4/01/2019 0:00:00,"41,14"
11/01/2019 0:00:00,"41,14"
18/01/2019 0:00:00,"41,14"
25/01/2019 0:00:00,"41,14"
1/02/2019 0:00:00,"36,83"
10/02/2019 0:00:00,"36,83"
17/02/2019 0:00:00,"36,83"
27/02/2019 0:00:00,"36,83"
7/03/2019 0:00:00,"37,29"
14/03/2019 0:00:00,"37,29"
21/03/2019 0:00:00,"37,29"
28/03/2019 0:00:00,"37,29"
4/04/2019 0:00:00,"36,7"
11/04/2019 0:00:00,"36,7"
18/04/2019 0:00:00,"36,7"
25/04/2019 0:00:00,"36,7"
1/05/2019 0:00:00,"36,7"
10/05/2019 0:00:00,"36,7"
17/05/2019 0:00:00,"36,7"
27/05/2019 0:00:00,"36,7"
7/06/2019 0:00:00,"32,89"
14/06/2019 0:00:00,"32,89"
21/06/2019 0:00:00,"32,89"
28/06/2019 0:00:00,"32,89"
5/07/2019 0:00:00,"32,52"
12/07/2019 0:00:00,"32,52"
19/07/2019 0:00:00,"32,52"
26/07/2019 0:00:00,"32,52"
2/08/2019 0:00:00,"31,62"
9/08/2019 0:00:00,"31,62"
16/08/2019 0:00:00,"31,62"
23/08/2019 0:00:00,"31,62"
30/08/2019 0:00:00,"31,62"
7/09/2019 0:00:00,"33,43"
14/09/2019 0:00:00,"33,43"
21/09/2019 0:00:00,"33,43"
30/09/2019 0:00:00,"33,43"
5/10/2019 0:00:00,"33,7"
12/10/2019 0:00:00,"33,7"
19/10/2019 0:00:00,"33,7"
26/10/2019 0:00:00,"33,7"
2/11/2019 0:00:00,"33,38"
16/11/2019 0:00:00,"33,38"
23/11/2019 0:00:00,"33,38"
30/11/2019 0:00:00,"33,38"
7/12/2019 0:00:00,"33,29"
14/12/2019 0:00:00,"33,29"
21/12/2019 0:00:00,"33,29"
30/12/2019 0:00:00,"33,29"
5/01/2020 0:00:00,"34,02"
12/01/2020 0:00:00,"34,02"
19/01/2020 0:00:00,"34,02"
26/01/2020 0:00:00,"34,02"
2/02/2020 0:00:00,"33,2"
16/02/2020 0:00:00,"33,2"
23/02/2020 0:00:00,"33,2"
6/03/2020 0:00:00,"30,3"
13/03/2020 0:00:00,"30,3"
20/03/2020 0:00:00,"30,3"
27/03/2020 0:00:00,"30,3"
3/04/2020 0:00:00,"27,9"
10/04/2020 0:00:00,"27,9"
17/04/2020 0:00:00,"27,9"
24/04/2020 0:00:00,"27,9"
8/05/2020 0:00:00,"26,35"
15/05/2020 0:00:00,"26,35"
22/05/2020 0:00:00,"26,35"
29/05/2020 0:00:00,"26,35"
6/06/2020 0:00:00,"26,67"
13/06/2020 0:00:00,"26,67"
20/06/2020 0:00:00,"26,67"
27/06/2020 0:00:00,"26,67"
3/07/2020 0:00:00,"27,22"
10/07/2020 0:00:00,"27,22"
17/07/2020 0:00:00,"27,22"
24/07/2020 0:00:00,"27,22"
9/08/2020 0:00:00,"27,85"
16/08/2020 0:00:00,"27,85"
23/08/2020 0:00:00,"27,85"
30/08/2020 0:00:00,"27,85"
4/09/2020 0:00:00,"29,17"
11/09/2020 0:00:00,"29,17"
18/09/2020 0:00:00,"29,17"
25/09/2020 0:00:00,"29,17"
3/10/2020 0:00:00,"29,5"
10/10/2020 0:00:00,"29,5"
17/10/2020 0:00:00,"29,5"
24/10/2020 0:00:00,"29,5"
7/11/2020 0:00:00,"29,86"
14/11/2020 0:00:00,"29,86"
21/11/2020 0:00:00,"29,86"
28/11/2020 0:00:00,"29,86"
4/12/2020 0:00:00,33
11/12/2020 0:00:00,33
18/12/2020 0:00:00,33
25/12/2020 0:00:00,33
8/01/2021 0:00:00,33
15/01/2021 0:00:00,33
22/01/2021 0:00:00,33
29/01/2021 0:00:00,33
5/02/2021 0:00:00,38
12/02/2021 0:00:00,38
19/02/2021 0:00:00,38
26/02/2021 0:00:00,38
4/03/2021 0:00:00,39
11/03/2021 0:00:00,39
18/03/2021 0:00:00,39
25/03/2021 0:00:00,39
8/04/2021 0:00:00,36
15/04/2021 0:00:00,36
22/04/2021 0:00:00,36
5/05/2021 0:00:00,39
12/05/2021 0:00:00,39
19/05/2021 0:00:00,39
26/05/2021 0:00:00,39
3/06/2021 0:00:00,37
10/06/2021 0:00:00,37
17/06/2021 0:00:00,37
24/06/2021 0:00:00,37
1/07/2021 0:00:00,37
8/07/2021 0:00:00,37
15/07/2021 0:00:00,37
22/07/2021 0:00:00,37
29/07/2021 0:00:00,37
5/08/2021 0:00:00,38
12/08/2021 0:00:00,38
19/08/2021 0:00:00,38
26/08/2021 0:00:00,38
2/09/2021 0:00:00,35
9/09/2021 0:00:00,35
16/09/2021 0:00:00,35
23/09/2021 0:00:00,35
30/09/2021 0:00:00,35
7/10/2021 0:00:00,35
14/10/2021 0:00:00,35
21/10/2021 0:00:00,35
28/10/2021 0:00:00,35
4/11/2021 0:00:00,37
11/11/2021 0:00:00,37
18/11/2021 0:00:00,37
25/11/2021 0:00:00,37
2/12/2021 0:00:00,32
9/12/2021 0:00:00,32
16/12/2021 0:00:00,32
23/12/2021 0:00:00,32
30/12/2021 0:00:00,32
6/01/2022 0:00:00,33
13/01/2022 0:00:00,33
20/01/2022 0:00:00,33
27/01/2022 0:00:00,33
3/02/2022 0:00:00,36
10/02/2022 0:00:00,36
17/02/2022 0:00:00,36
24/02/2022 0:00:00,36
3/03/2022 0:00:00,44
10/03/2022 0:00:00,44
17/03/2022 0:00:00,44
24/03/2022 0:00:00,44
31/03/2022 0:00:00,44
7/04/2022 0:00:00,43
14/04/2022 0:00:00,43
21/04/2022 0:00:00,43
28/04/2022 0:00:00,43
5/05/2022 0:00:00,48
12/05/2022 0:00:00,48
19/05/2022 0:00:00,48
26/05/2022 0:00:00,48
2/06/2022 0:00:00,56
9/06/2022 0:00:00,56
16/06/2022 0:00:00,56
23/06/2022 0:00:00,56
30/06/2022 0:00:00,56
7/07/2022 0:00:00,49
14/07/2022 0:00:00,49
21/07/2022 0:00:00,49
28/07/2022 0:00:00,49
4/08/2022 0:00:00,36
11/08/2022 0:00:00,36
